,1,2,3,4,5,6,7,8,9,10,11,12
MOSQUITO NET,1.004723538427468,0.9942505280459325,1.0111321301017735,0.9951294817481094,1.010846982856962,1.002301586121069,0.9942873770647286,0.9941779478900317,0.9924446596394526,1.0035705230871976,1.0027194422541603,0.9956842781141074
ELECTRIC KETTLE,0.9249999999999999,1.2718749999999999,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.9749999999999999,0.9249999999999999,1.3144736842105262,1.1028846153846152,0.9249999999999999
DRILL KIT,0.9912280701754386,1.003390377784953,1.0055936943808799,0.9912280701754386,0.9912280701754386,1.020816967792616,0.9912280701754386,1.0064777327935222,0.9912280701754386,1.018261562998405,0.9912280701754386,0.9912280701754386
SEWING MACHINE,1.0008294291223079,0.999323032275987,1.0049532736970677,1.0025965898602973,0.9979115590665576,0.9979115590665576,1.0008294291223079,0.9979115590665576,0.9979115590665576,0.9997358946407194,1.0031915144055341,0.9979115590665576
ROTIMAKER,1.002178028954973,0.9971671388101983,0.9971671388101983,0.9971671388101983,0.9971671388101983,0.9971671388101983,0.9971671388101983,0.9971671388101983,1.0016792073116019,1.001155807365439,1.0086950826114722,1.0060704168352892
IRONING BOARD,0.9975770162686052,0.9975770162686052,0.9975770162686052,1.001615789613822,1.001152561129783,0.9975770162686052,1.0011397913267073,1.0096933363042562,0.9975770162686052,0.9975770162686052,1.0024432456162569,0.9975770162686052
ICECREAM MAKER,0.9967948717948718,0.9967948717948718,1.0126170126170126,0.9967948717948718,0.9967948717948718,0.9967948717948718,1.0086614774114775,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718,0.9967948717948718
WAFFLE MAKER,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,0.99644128113879,1.0438908659549229,0.99644128113879
POPCORN MAKER,0.9822485207100592,0.9822485207100592,0.9822485207100592,0.9822485207100592,0.9822485207100592,0.9822485207100592,1.0062058017029876,0.9822485207100592,0.9822485207100592,1.0991828684136378,0.9822485207100592,0.9822485207100592
YOGURT MAKER,0.9920212765957447,0.9920212765957447,0.9920212765957447,0.9920212765957447,0.9920212765957447,1.050375469336671,0.9920212765957447,0.9920212765957447,1.0822050290135397,1.0211983729662077,0.9920212765957447,0.9920212765957447
NUTRIBLENDER,0.9847094801223242,0.9847094801223242,0.9847094801223242,1.0667686034658512,0.9961595903563047,0.9847094801223242,0.9939123724599159,0.990180088345226,0.990336391437309,1.0703363914373087,0.9987767584097859,0.9847094801223242
CHARCOAL GRILL,0.9884231536926149,1.0367699383841016,0.9884231536926149,1.0027481269345369,0.9884231536926149,0.993244730052091,1.0137673371206306,1.0006259086764744,0.9884231536926149,1.0061527169875497,1.004896872920825,0.9940232848750093
NOT SELLING,0.9936305732484076,0.9936305732484076,0.9936305732484076,1.0135031847133757,0.9936305732484076,0.9936305732484076,0.9936305732484076,1.0577357715224984,0.9936305732484076,1.0099195990393652,0.9936305732484076,0.9936305732484076
ROOM HEATER,0.9982288921390602,0.9925148291121363,1.0083595741490476,1.2797042774159477,0.98110661268556,0.98110661268556,0.98110661268556,0.98110661268556,1.0059447547788651,1.0232400255002772,0.9911951125589334,0.9968743975322921
METAL PLANTER,0.9809534671532846,0.9792380136986302,1.0283717105263157,0.9859913793103449,0.9679021317829457,0.9811580882352939,1.0060763888888888,1.0228658536585367,0.953125,1.0338983050847457,1.1098030821917808,1.0001929012345678
MIXER GRINDER,1.0095419847328242,1.0205152671755726,1.0166423439604848,0.9875954198473281,0.9875954198473281,1.0113928998436494,1.01428718795131,0.9875954198473281,0.9994941598454886,0.9875954198473281,0.9875954198473281,0.9875954198473281
COOLER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SANDWICH MAKER,0.9957805907172996,0.9957805907172996,0.9957805907172996,0.9957805907172996,1.0161026435890812,0.9957805907172996,0.9957805907172996,1.003440441415125,0.9957805907172996,1.0092370851864523,0.9957805907172996,0.9957805907172996
COMMERCIAL MIXER GRINDER,0.9866017052375153,1.0090244712656407,1.0151162053888887,0.9932231931921296,0.9937509929566277,0.9866017052375153,0.9866017052375153,0.9866017052375153,1.0037104053283392,1.0135580359817098,1.0115789635979586,1.0075932308808666
LADDER,0.9984738649370469,0.9984738649370469,0.9984738649370469,0.9984738649370469,0.9984738649370469,0.9984738649370469,1.0033683446671304,1.0027226898942259,1.0051303573699606,0.9984738649370469,0.9984738649370469,0.9984738649370469
BATHROOM MIRROR,0.9925925925925927,0.9925925925925927,1.0610472541507023,0.9925925925925927,0.9925925925925927,1.0180436847103513,0.9925925925925927,0.9925925925925927,0.9925925925925927,0.9925925925925927,0.9925925925925927,0.9925925925925927
VACUUM CLEANER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KITCHEN SCALE,0.993452380952381,1.0012137276785715,1.0066984126984129,0.9993657879818594,1.0053500142572,0.993452380952381,0.993452380952381,1.0073468198468198,1.008061974789916,0.993452380952381,1.0024024024024023,0.993452380952381
PERSONAL SCALE,0.9970588235294119,0.9970588235294119,0.9970588235294119,0.9970588235294119,0.9970588235294119,0.9970588235294119,0.9970588235294119,1.017616737416616,0.9970588235294119,1.011101905550953,0.9970588235294119,0.9970588235294119
SEWING KIT,1.0185884900941888,0.9928014397120575,1.003197266305901,0.9989298436608974,0.9992066102908449,1.0133776353537582,0.9984423569831486,0.9986072960846426,0.9928014397120575,0.9928014397120575,0.9928014397120575,0.9928014397120575
SLOW JUICER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AIRFRYER,1.0137026239067055,0.9959183673469388,1.0342229199372057,0.9959183673469388,0.9959183673469388,0.9959183673469388,0.9959183673469388,1.0029318769761426,0.9959183673469388,0.9959183673469388,1.009376723662438,0.9959183673469388
STAND MIXER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ELECTRIC PRESSURE COOKER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PORTABLE BLENDER,0.9770773638968482,0.9770773638968482,0.9770773638968482,0.9770773638968482,0.989933645000754,0.9770773638968482,0.9770773638968482,0.9770773638968482,0.9770773638968482,1.151555464592714,1.0,1.0
GARMENT STEAMER,1.0,1.0,0.9938144329896907,0.9938144329896907,0.9938144329896907,0.9938144329896907,0.9938144329896907,0.9938144329896907,1.0093427835051547,1.0192968543484007,1.0,1.0
HAND BLENDER,1.0,1.0,0.9804469273743017,0.9804469273743017,1.0032480187085877,0.9982732351447434,1.0004560483411242,0.9979549082202713,0.9804469273743017,1.0294692737430169,1.0,1.0
